Fecha,Producto,Categoría,Región,Canal,Cantidad,PrecioUnitario,CostoUnitario,Ventas,Costo,Margen,MargenPct,AñoMes,TicketPromedio
2024-04-12,Smartphone X,Electrónica,Este,Online,1,1235.51,700.28,1235.51,700.28,535.23,0.4332,2024-04,1235.51
2024-05-10,Purificador A2,Hogar,Norte,Distribuidor,1,583.75,369.9,583.75,369.9,213.85,0.3663,2024-05,583.75
2025-04-19,Pack Proteico,Alimentos,Centro,Retail,2,43.77,28.77,87.54,57.54,30.0,0.3427,2025-04,43.77
2024-05-10,Smartphone X,Electrónica,Norte,Online,2,1317.92,704.24,2635.84,1408.48,1227.36,0.4656,2024-05,1317.92
2025-03-30,Horno Smart,Hogar,Centro,Online,2,484.43,223.3,968.86,446.6,522.26,0.539,2025-03,484.43
2025-02-05,Snack Saludable,Alimentos,Centro,Retail,1,83.36,43.23,83.36,43.23,40.13,0.4814,2025-02,83.36
2024-10-22,Licuadora Pro,Hogar,Centro,Retail,2,463.55,235.41,927.1,470.82,456.28,0.4922,2024-10,463.55
2025-06-04,Laptop Pro,Electrónica,Oeste,Retail,2,1203.92,692.81,2407.84,1385.62,1022.22,0.4245,2025-06,1203.92
2024-02-10,Cinta Correr,Deportes,Sur,Retail,3,555.86,359.33,1667.58,1077.99,589.59,0.3536,2024-02,555.86
2025-04-06,Smartphone X,Electrónica,Oeste,Online,1,1303.59,678.65,1303.59,678.65,624.94,0.4794,2025-04,1303.59
2024-08-28,Mancuernas Set,Deportes,Centro,Retail,2,1091.85,602.06,2183.7,1204.12,979.58,0.4486,2024-08,1091.85
2024-03-26,Auriculares Max,Electrónica,Centro,Online,1,1210.15,681.94,1210.15,681.94,528.21,0.4365,2024-03,1210.15
2024-12-13,Chaqueta Premium,Moda,Centro,Retail,1,233.74,148.88,233.74,148.88,84.86,0.3631,2024-12,233.74
2024-11-13,Café Gourmet,Alimentos,Centro,Online,2,27.6,14.85,55.2,29.7,25.5,0.462,2024-11,27.6
2025-01-20,Smartphone X,Electrónica,Sur,Retail,1,1125.95,642.66,1125.95,642.66,483.29,0.4292,2025-01,1125.95
2025-01-19,Laptop Pro,Electrónica,Norte,Retail,2,511.43,360.49,1022.86,720.98,301.88,0.2951,2025-01,511.43
2024-10-06,Colchoneta Yoga,Deportes,Este,Online,1,471.79,354.04,471.79,354.04,117.75,0.2496,2024-10,471.79
2025-02-06,Mancuernas Set,Deportes,Sur,Distribuidor,5,437.94,280.07,2189.7,1400.35,789.35,0.3605,2025-02,437.94
2024-10-24,Bicicleta Urbana,Deportes,Centro,Distribuidor,1,986.15,753.44,986.15,753.44,232.71,0.236,2024-10,986.15
2024-02-06,Horno Smart,Hogar,Sur,Online,6,153.81,89.26,922.86,535.56,387.3,0.4197,2024-02,153.81
2025-04-17,Jeans Fit,Moda,Este,Distribuidor,2,201.08,107.18,402.16,214.36,187.8,0.467,2025-04,201.08
2024-10-03,Snack Saludable,Alimentos,Este,Online,3,29.63,23.49,88.89,70.47,18.42,0.2072,2024-10,29.63
2025-03-13,Aspiradora Plus,Hogar,Este,Retail,2,294.57,191.53,589.14,383.06,206.08,0.3498,2025-03,294.57
2024-07-10,Bicicleta Urbana,Deportes,Sur,Distribuidor,1,1130.34,875.91,1130.34,875.91,254.43,0.2251,2024-07,1130.34
2025-05-11,Cinta Correr,Deportes,Oeste,Retail,1,1176.99,729.55,1176.99,729.55,447.44,0.3802,2025-05,1176.99
2024-01-18,Zapatillas Urban,Moda,Este,Online,2,197.71,149.68,395.42,299.36,96.06,0.2429,2024-01,197.71
2024-04-13,Horno Smart,Hogar,Centro,Retail,5,439.34,297.65,2196.7,1488.25,708.45,0.3225,2024-04,439.34
2025-05-26,Té Orgánico,Alimentos,Centro,Retail,2,54.2,27.33,108.4,54.66,53.74,0.4958,2025-05,54.2
2024-07-08,Cinta Correr,Deportes,Sur,Distribuidor,1,65.69,41.57,65.69,41.57,24.12,0.3672,2024-07,65.69
2024-02-22,Chaqueta Premium,Moda,Norte,Online,2,297.87,235.12,595.74,470.24,125.5,0.2107,2024-02,297.87
2024-04-15,Purificador A2,Hogar,Oeste,Distribuidor,1,489.4,385.12,489.4,385.12,104.28,0.2131,2024-04,489.4
2024-05-06,Auriculares Max,Electrónica,Oeste,Distribuidor,3,1104.77,866.36,3314.31,2599.08,715.23,0.2158,2024-05,1104.77
2025-03-22,Camisa Oxford,Moda,Este,Distribuidor,1,206.79,117.8,206.79,117.8,88.99,0.4303,2025-03,206.79
2024-08-07,Smartphone X,Electrónica,Centro,Retail,1,259.8,161.61,259.8,161.61,98.19,0.3779,2024-08,259.8
2024-10-15,Bicicleta Urbana,Deportes,Este,Retail,1,86.23,66.98,86.23,66.98,19.25,0.2232,2024-10,86.23
2024-11-20,Licuadora Pro,Hogar,Norte,Distribuidor,4,372.93,274.93,1491.72,1099.72,392.0,0.2628,2024-11,372.93
2024-09-24,Smart Band,Deportes,Sur,Distribuidor,1,1089.26,497.11,1089.26,497.11,592.15,0.5436,2024-09,1089.26
2025-05-13,Tablet Air,Electrónica,Centro,Distribuidor,1,1003.73,625.94,1003.73,625.94,377.79,0.3764,2025-05,1003.73
2025-05-15,Purificador A2,Hogar,Este,Online,2,537.5,379.52,1075.0,759.04,315.96,0.2939,2025-05,537.5
2024-04-05,Cocoa Premium,Alimentos,Norte,Distribuidor,1,68.82,52.71,68.82,52.71,16.11,0.2341,2024-04,68.82
2024-03-02,Colchoneta Yoga,Deportes,Norte,Online,5,378.23,181.23,1891.15,906.15,985.0,0.5208,2024-03,378.23
2024-03-09,Mancuernas Set,Deportes,Sur,Online,1,816.85,384.04,816.85,384.04,432.81,0.5299,2024-03,816.85
